"species","loc","year","lat","long","family","genus","n.ind","n.pos","total.ind","total.loc"
"Litoria gracilenta","145.716,-17.839",2002,-17.839,145.716,"Pelodryadidae","Litoria",62,0,394,20
"Litoria gracilenta","148.503,-20.138",2002,-20.138,148.503,"Pelodryadidae","Litoria",1,0,394,20
"Litoria gracilenta","151.071,-33.863",1999,-33.863,151.071,"Pelodryadidae","Litoria",1,0,394,20
"Litoria gracilenta","152.468,-27.203",1978,-27.203,152.468,"Pelodryadidae","Litoria",1,1,394,20
"Litoria gracilenta","152.983,-27.25",1998,-27.25,152.983,"Pelodryadidae","Litoria",1,0,394,20
"Litoria gracilenta","153.268,-28.284",2004,-28.284,153.268,"Pelodryadidae","Litoria",74,0,394,20
"Litoria inermis","126.271,-15.338",2011,-15.338,126.271,"Pelodryadidae","Litoria",21,0,65,23
"Litoria inermis","126.464,-14.771",2011,-14.771,126.464,"Pelodryadidae","Litoria",4,0,65,23
"Litoria inermis","143.402,-18.808",2016,-18.808,143.402,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","143.405,-18.809",2016,-18.809,143.405,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","144.159,-19.466",2016,-19.466,144.159,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.12,-15.429",2005,-15.429,145.12,"Pelodryadidae","Litoria",10,0,65,23
"Litoria inermis","145.12,-15.429",2006,-15.429,145.12,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.154,-15.424",2005,-15.424,145.154,"Pelodryadidae","Litoria",2,0,65,23
"Litoria inermis","145.155,-15.466",2005,-15.466,145.155,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.178,-15.482",2003,-15.482,145.178,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.371,-17.756",2002,-17.756,145.371,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.376,-17.486",2003,-17.486,145.376,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.406,-17.695",2002,-17.695,145.406,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","145.458,-17.643",2005,-17.643,145.458,"Pelodryadidae","Litoria",3,0,65,23
"Litoria inermis","145.567,-16.909",2003,-16.909,145.567,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","147.865,-20.308",2002,-20.308,147.865,"Pelodryadidae","Litoria",4,0,65,23
"Litoria inermis","147.938,-19.952",2002,-19.952,147.938,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","147.979,-20.228",2002,-20.228,147.979,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","148.097,-20.006",2002,-20.006,148.097,"Pelodryadidae","Litoria",3,0,65,23
"Litoria inermis","148.152,-20.074",2002,-20.074,148.152,"Pelodryadidae","Litoria",1,0,65,23
"Litoria inermis","148.173,-22.648",2016,-22.648,148.173,"Pelodryadidae","Litoria",2,0,65,23
"Litoria inermis","148.265,-20.113",2002,-20.113,148.265,"Pelodryadidae","Litoria",2,0,65,23
"Litoria inermis","148.503,-20.138",2002,-20.138,148.503,"Pelodryadidae","Litoria",1,0,65,23
"Litoria latopalmata","145.457,-17.438",2007,-17.438,145.457,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","145.458,-17.643",2005,-17.643,145.458,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","145.567,-16.909",2003,-16.909,145.567,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","147.542,-30.681",2009,-30.681,147.542,"Pelodryadidae","Litoria",49,6,161,23
"Litoria latopalmata","147.865,-20.308",2002,-20.308,147.865,"Pelodryadidae","Litoria",2,0,161,23
"Litoria latopalmata","148.173,-22.648",2016,-22.648,148.173,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","150.613,-28.352",2005,-28.352,150.613,"Pelodryadidae","Litoria",15,0,161,23
"Litoria latopalmata","151.1,-27.35",1999,-27.35,151.1,"Pelodryadidae","Litoria",2,0,161,23
"Litoria latopalmata","151.109,-27.376",2007,-27.376,151.109,"Pelodryadidae","Litoria",14,1,161,23
"Litoria latopalmata","151.111,-27.366",2007,-27.366,151.111,"Pelodryadidae","Litoria",14,1,161,23
"Litoria latopalmata","151.163,-28.789",2007,-28.789,151.163,"Pelodryadidae","Litoria",4,0,161,23
"Litoria latopalmata","151.171,-28.775",2007,-28.775,151.171,"Pelodryadidae","Litoria",6,0,161,23
"Litoria latopalmata","151.172,-28.774",2007,-28.774,151.172,"Pelodryadidae","Litoria",2,0,161,23
"Litoria latopalmata","151.485,-28.86",2007,-28.86,151.485,"Pelodryadidae","Litoria",3,0,161,23
"Litoria latopalmata","151.524,-28.989",2007,-28.989,151.524,"Pelodryadidae","Litoria",3,0,161,23
"Litoria latopalmata","152.35,-27.983",1997,-27.983,152.35,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","152.525,-28.016",1996,-28.016,152.525,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","152.525,-28.016",1999,-28.016,152.525,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","153.199,-27.97",2009,-27.97,153.199,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","153.215,-28.435",2012,-28.435,153.215,"Pelodryadidae","Litoria",1,0,161,23
"Litoria latopalmata","153.237,-29.359",2012,-29.359,153.237,"Pelodryadidae","Litoria",2,0,161,23
"Litoria latopalmata","153.268,-28.284",2004,-28.284,153.268,"Pelodryadidae","Litoria",26,2,161,23
"Litoria latopalmata","153.307,-29.18",2012,-29.18,153.307,"Pelodryadidae","Litoria",10,0,161,23
"Litoria lesueuri","144.963,-37.814",2010,-37.814,144.963,"Pelodryadidae","Litoria",1,1,150,24
"Litoria lesueuri","145.12,-15.429",2005,-15.429,145.12,"Pelodryadidae","Litoria",34,0,150,24
"Litoria lesueuri","145.317,-15.81",1999,-15.81,145.317,"Pelodryadidae","Litoria",2,0,150,24
"Litoria lesueuri","145.412,-17.697",2002,-17.697,145.412,"Pelodryadidae","Litoria",1,0,150,24
"Litoria lesueuri","145.457,-17.438",2007,-17.438,145.457,"Pelodryadidae","Litoria",20,0,150,24
"Litoria lesueuri","145.629,-17.117",1999,-17.117,145.629,"Pelodryadidae","Litoria",1,0,150,24
"Litoria lesueuri","145.646,-17.772",2004,-17.772,145.646,"Pelodryadidae","Litoria",7,0,150,24
"Litoria lesueuri","145.666,-16.879",1999,-16.879,145.666,"Pelodryadidae","Litoria",6,0,150,24
"Litoria lesueuri","145.703,-17.426",2004,-17.426,145.703,"Pelodryadidae","Litoria",5,4,150,24
"Litoria lesueuri","145.775,-17.242",1999,-17.242,145.775,"Pelodryadidae","Litoria",1,0,150,24
"Litoria lesueuri","145.775,-17.242",2000,-17.242,145.775,"Pelodryadidae","Litoria",2,0,150,24
"Litoria lesueuri","145.954,-18.394",1999,-18.394,145.954,"Pelodryadidae","Litoria",9,1,150,24
"Litoria lesueuri","145.954,-18.394",2000,-18.394,145.954,"Pelodryadidae","Litoria",5,0,150,24
"Litoria lesueuri","146.068,-18.413",1999,-18.413,146.068,"Pelodryadidae","Litoria",3,1,150,24
"Litoria lesueuri","147.83,-36.541",1998,-36.541,147.83,"Pelodryadidae","Litoria",1,1,150,24
"Litoria lesueuri","147.865,-20.308",2002,-20.308,147.865,"Pelodryadidae","Litoria",1,0,150,24
"Litoria lesueuri","148.107,-36.588",1998,-36.588,148.107,"Pelodryadidae","Litoria",2,2,150,24
"Litoria lesueuri","148.501,-21.167",1993,-21.167,148.501,"Pelodryadidae","Litoria",1,1,150,24
"Litoria lesueuri","148.633,-21.053",1994,-21.053,148.633,"Pelodryadidae","Litoria",6,1,150,24
"Litoria lesueuri","148.638,-21.071",1994,-21.071,148.638,"Pelodryadidae","Litoria",20,2,150,24
"Litoria lesueuri","148.638,-21.071",1995,-21.071,148.638,"Pelodryadidae","Litoria",14,5,150,24
"Litoria lesueuri","148.638,-21.071",1996,-21.071,148.638,"Pelodryadidae","Litoria",1,0,150,24
"Litoria lesueuri","148.639,-21.062",1996,-21.062,148.639,"Pelodryadidae","Litoria",1,1,150,24
"Litoria lesueuri","148.648,-21.071",1994,-21.071,148.648,"Pelodryadidae","Litoria",6,2,150,24
"Litoria moorei","114.367,-28.217",1980,-28.217,114.367,"Pelodryadidae","Litoria",15,0,248,85
"Litoria moorei","114.517,-28.35",1980,-28.35,114.517,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","114.7,-28.6",1999,-28.6,114.7,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","114.717,-28.6",1999,-28.6,114.717,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","114.733,-28.617",1999,-28.617,114.733,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","115,-28.733",1993,-28.733,115,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.067,-33.95",1999,-33.95,115.067,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.083,-34",1979,-34,115.083,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.083,-34.017",1999,-34.017,115.083,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.083,-34.133",1999,-34.133,115.083,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.1,-34.017",1998,-34.017,115.1,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.1,-34.025",1998,-34.025,115.1,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.1,-34.033",1999,-34.033,115.1,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.117,-33.95",1992,-33.95,115.117,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.35,-33.65",1999,-33.65,115.35,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","115.633,-33.317",1999,-33.317,115.633,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.65,-32.833",1992,-32.833,115.65,"Pelodryadidae","Litoria",8,4,248,85
"Litoria moorei","115.65,-32.833",1993,-32.833,115.65,"Pelodryadidae","Litoria",7,0,248,85
"Litoria moorei","115.65,-32.833",1994,-32.833,115.65,"Pelodryadidae","Litoria",5,0,248,85
"Litoria moorei","115.75,-32.433",1992,-32.433,115.75,"Pelodryadidae","Litoria",3,2,248,85
"Litoria moorei","115.75,-33.4",1984,-33.4,115.75,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.754,-32.428",1992,-32.428,115.754,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.783,-31.833",1984,-31.833,115.783,"Pelodryadidae","Litoria",2,0,248,85
"Litoria moorei","115.783,-31.883",1979,-31.883,115.783,"Pelodryadidae","Litoria",2,0,248,85
"Litoria moorei","115.783,-31.967",1992,-31.967,115.783,"Pelodryadidae","Litoria",3,2,248,85
"Litoria moorei","115.794,-31.808",1999,-31.808,115.794,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.8,-31.817",1992,-31.817,115.8,"Pelodryadidae","Litoria",2,0,248,85
"Litoria moorei","115.8,-31.9",1992,-31.9,115.8,"Pelodryadidae","Litoria",2,1,248,85
"Litoria moorei","115.8,-31.917",1992,-31.917,115.8,"Pelodryadidae","Litoria",2,0,248,85
"Litoria moorei","115.812,-31.898",1986,-31.898,115.812,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.812,-31.898",1999,-31.898,115.812,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.859,-31.952",1998,-31.952,115.859,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.867,-31.95",1998,-31.95,115.867,"Pelodryadidae","Litoria",21,0,248,85
"Litoria moorei","115.911,-31.904",1998,-31.904,115.911,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.924,-32.031",1998,-32.031,115.924,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","115.933,-31.817",1980,-31.817,115.933,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.967,-31.933",1990,-31.933,115.967,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","115.967,-32.217",1992,-32.217,115.967,"Pelodryadidae","Litoria",2,2,248,85
"Litoria moorei","116,-31.867",1993,-31.867,116,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116,-31.9",2009,-31.9,116,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116,-34.5",1979,-34.5,116,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.033,-31.85",1992,-31.85,116.033,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.033,-34.45",1992,-34.45,116.033,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.033,-34.45",1999,-34.45,116.033,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","116.067,-31.883",1979,-31.883,116.067,"Pelodryadidae","Litoria",4,0,248,85
"Litoria moorei","116.067,-31.917",1993,-31.917,116.067,"Pelodryadidae","Litoria",11,0,248,85
"Litoria moorei","116.117,-31.967",1992,-31.967,116.117,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.117,-34.633",1999,-34.633,116.117,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.146,-34.241",1998,-34.241,116.146,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","116.15,-34.25",1981,-34.25,116.15,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.15,-34.25",1998,-34.25,116.15,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","116.2,-31.867",1998,-31.867,116.2,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","116.2,-31.9",1998,-31.9,116.2,"Pelodryadidae","Litoria",2,2,248,85
"Litoria moorei","116.2,-34.683",1985,-34.683,116.2,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.208,-31.875",1998,-31.875,116.208,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","116.233,-34.517",1985,-34.517,116.233,"Pelodryadidae","Litoria",2,0,248,85
"Litoria moorei","116.246,-31.946",1998,-31.946,116.246,"Pelodryadidae","Litoria",3,3,248,85
"Litoria moorei","116.433,-32.917",1980,-32.917,116.433,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","116.438,-33.849",1986,-33.849,116.438,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","116.85,-35.017",1986,-35.017,116.85,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","117.3,-34.9",1993,-34.9,117.3,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","117.35,-34.95",2009,-34.95,117.35,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","117.4,-35",1998,-35,117.4,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","117.417,-34.983",1986,-34.983,117.417,"Pelodryadidae","Litoria",3,0,248,85
"Litoria moorei","117.533,-34.683",1999,-34.683,117.533,"Pelodryadidae","Litoria",4,0,248,85
"Litoria moorei","117.65,-34.05",2009,-34.05,117.65,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","117.65,-34.65",1998,-34.65,117.65,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","117.667,-34.63",1998,-34.63,117.667,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","117.983,-35.017",1979,-35.017,117.983,"Pelodryadidae","Litoria",9,0,248,85
"Litoria moorei","117.99,-34.587",1985,-34.587,117.99,"Pelodryadidae","Litoria",1,1,248,85
"Litoria moorei","118.117,-34.967",1999,-34.967,118.117,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","118.183,-34.833",1980,-34.833,118.183,"Pelodryadidae","Litoria",1,0,248,85
"Litoria moorei","118.183,-34.95",1978,-34.95,118.183,"Pelodryadidae","Litoria",2,0,248,85
"Litoria nannotis","145.167,-16.464",2006,-16.464,145.167,"Pelodryadidae","Litoria",48,48,525,48
"Litoria nannotis","145.183,-16.453",2006,-16.453,145.183,"Pelodryadidae","Litoria",3,0,525,48
"Litoria nannotis","145.273,-15.714",1993,-15.714,145.273,"Pelodryadidae","Litoria",7,1,525,48
"Litoria nannotis","145.28,-16.32",2008,-16.32,145.28,"Pelodryadidae","Litoria",53,44,525,48
"Litoria nannotis","145.28,-16.32",2009,-16.32,145.28,"Pelodryadidae","Litoria",66,56,525,48
"Litoria nannotis","145.533,-18.222",2006,-18.222,145.533,"Pelodryadidae","Litoria",17,6,525,48
"Litoria nannotis","145.583,-17.767",1995,-17.767,145.583,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.626,-17.602",1998,-17.602,145.626,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.626,-17.602",1999,-17.602,145.626,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.626,-17.602",2000,-17.602,145.626,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.626,-17.602",2001,-17.602,145.626,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.632,-17.666",2001,-17.666,145.632,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.645,-17.774",1999,-17.774,145.645,"Pelodryadidae","Litoria",21,1,525,48
"Litoria nannotis","145.645,-17.774",2000,-17.774,145.645,"Pelodryadidae","Litoria",30,1,525,48
"Litoria nannotis","145.645,-17.774",2001,-17.774,145.645,"Pelodryadidae","Litoria",17,1,525,48
"Litoria nannotis","145.645,-17.774",2002,-17.774,145.645,"Pelodryadidae","Litoria",24,0,525,48
"Litoria nannotis","145.646,-17.772",2004,-17.772,145.646,"Pelodryadidae","Litoria",26,12,525,48
"Litoria nannotis","145.646,-17.772",2005,-17.772,145.646,"Pelodryadidae","Litoria",14,3,525,48
"Litoria nannotis","145.666,-16.879",1999,-16.879,145.666,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.671,-17.701",2001,-17.701,145.671,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.678,-16.967",2002,-16.967,145.678,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.691,-17.418",1998,-17.418,145.691,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.691,-17.418",2001,-17.418,145.691,"Pelodryadidae","Litoria",14,0,525,48
"Litoria nannotis","145.702,-17.427",1998,-17.427,145.702,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.702,-17.427",2001,-17.427,145.702,"Pelodryadidae","Litoria",19,0,525,48
"Litoria nannotis","145.702,-17.427",2005,-17.427,145.702,"Pelodryadidae","Litoria",6,0,525,48
"Litoria nannotis","145.703,-17.426",2004,-17.426,145.703,"Pelodryadidae","Litoria",7,2,525,48
"Litoria nannotis","145.703,-17.426",2005,-17.426,145.703,"Pelodryadidae","Litoria",10,1,525,48
"Litoria nannotis","145.718,-17.374",2000,-17.374,145.718,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.756,-17.599",1999,-17.599,145.756,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.756,-17.599",2000,-17.599,145.756,"Pelodryadidae","Litoria",3,0,525,48
"Litoria nannotis","145.756,-17.599",2001,-17.599,145.756,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.757,-17.597",2004,-17.597,145.757,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.757,-17.597",2005,-17.597,145.757,"Pelodryadidae","Litoria",6,0,525,48
"Litoria nannotis","145.772,-17.372",1998,-17.372,145.772,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.772,-17.372",1999,-17.372,145.772,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.784,-18.216",2006,-18.216,145.784,"Pelodryadidae","Litoria",3,0,525,48
"Litoria nannotis","145.838,-18.199",1999,-18.199,145.838,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.838,-18.199",2000,-18.199,145.838,"Pelodryadidae","Litoria",2,0,525,48
"Litoria nannotis","145.844,-17.43",1998,-17.43,145.844,"Pelodryadidae","Litoria",5,0,525,48
"Litoria nannotis","145.844,-17.43",1999,-17.43,145.844,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.844,-17.43",2000,-17.43,145.844,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.844,-17.43",2001,-17.43,145.844,"Pelodryadidae","Litoria",1,0,525,48
"Litoria nannotis","145.879,-17.088",1996,-17.088,145.879,"Pelodryadidae","Litoria",1,1,525,48
"Litoria nannotis","146.165,-18.981",1990,-18.981,146.165,"Pelodryadidae","Litoria",4,2,525,48
"Litoria nannotis","146.165,-18.981",1991,-18.981,146.165,"Pelodryadidae","Litoria",10,0,525,48
"Litoria nannotis","146.23,-19.009",1989,-19.009,146.23,"Pelodryadidae","Litoria",14,0,525,48
"Litoria nannotis","146.23,-19.009",1990,-19.009,146.23,"Pelodryadidae","Litoria",66,0,525,48
"Litoria nasuta","126.271,-15.338",2011,-15.338,126.271,"Pelodryadidae","Litoria",16,0,77,22
"Litoria nasuta","126.464,-14.771",2011,-14.771,126.464,"Pelodryadidae","Litoria",6,0,77,22
"Litoria nasuta","133.085,-14.908",1999,-14.908,133.085,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","141.09,-17.663",2016,-17.663,141.09,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","144.164,-19.416",2016,-19.416,144.164,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","145.12,-15.429",2005,-15.429,145.12,"Pelodryadidae","Litoria",3,0,77,22
"Litoria nasuta","145.151,-15.444",2003,-15.444,145.151,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","145.371,-17.756",2002,-17.756,145.371,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","145.4,-17.698",2002,-17.698,145.4,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","145.45,-17.329",2007,-17.329,145.45,"Pelodryadidae","Litoria",3,0,77,22
"Litoria nasuta","145.567,-16.909",2003,-16.909,145.567,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","147.865,-20.308",2002,-20.308,147.865,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","148.104,-19.951",2002,-19.951,148.104,"Pelodryadidae","Litoria",5,0,77,22
"Litoria nasuta","148.105,-19.95",2002,-19.95,148.105,"Pelodryadidae","Litoria",5,0,77,22
"Litoria nasuta","148.491,-20.108",2002,-20.108,148.491,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","148.505,-20.147",2002,-20.147,148.505,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","151.583,-24.334",2016,-24.334,151.583,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","153.028,-27.468",1983,-27.468,153.028,"Pelodryadidae","Litoria",1,1,77,22
"Litoria nasuta","153.246,-29.504",2012,-29.504,153.246,"Pelodryadidae","Litoria",17,0,77,22
"Litoria nasuta","153.278,-29.127",2012,-29.127,153.278,"Pelodryadidae","Litoria",1,0,77,22
"Litoria nasuta","153.307,-29.18",2012,-29.18,153.307,"Pelodryadidae","Litoria",8,0,77,22
"Litoria nasuta","153.556,-28.373",2012,-28.373,153.556,"Pelodryadidae","Litoria",1,0,77,22
"Litoria pearsoniana","151.004,-24.361",1998,-24.361,151.004,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","151.006,-24.386",2005,-24.386,151.006,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","151.031,-24.406",1999,-24.406,151.031,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","151.032,-24.404",2005,-24.404,151.032,"Pelodryadidae","Litoria",2,0,1414,75
"Litoria pearsoniana","151.032,-24.414",1999,-24.414,151.032,"Pelodryadidae","Litoria",7,1,1414,75
"Litoria pearsoniana","151.034,-24.413",2005,-24.413,151.034,"Pelodryadidae","Litoria",10,3,1414,75
"Litoria pearsoniana","151.035,-24.408",1998,-24.408,151.035,"Pelodryadidae","Litoria",2,2,1414,75
"Litoria pearsoniana","151.039,-24.369",1998,-24.369,151.039,"Pelodryadidae","Litoria",1,1,1414,75
"Litoria pearsoniana","151.039,-24.369",1999,-24.369,151.039,"Pelodryadidae","Litoria",2,2,1414,75
"Litoria pearsoniana","152.373,-28.342",2000,-28.342,152.373,"Pelodryadidae","Litoria",1,1,1414,75
"Litoria pearsoniana","152.382,-28.051",1998,-28.051,152.382,"Pelodryadidae","Litoria",1,1,1414,75
"Litoria pearsoniana","152.434,-28.732",1998,-28.732,152.434,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.479,-28.229",2000,-28.229,152.479,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.513,-26.737",2005,-26.737,152.513,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.556,-26.72",2005,-26.72,152.556,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.579,-26.663",2005,-26.663,152.579,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.585,-26.714",2000,-26.714,152.585,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.606,-26.681",2005,-26.681,152.606,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.607,-26.68",2006,-26.68,152.607,"Pelodryadidae","Litoria",688,312,1414,75
"Litoria pearsoniana","152.611,-26.693",2005,-26.693,152.611,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.617,-26.687",1999,-26.687,152.617,"Pelodryadidae","Litoria",3,0,1414,75
"Litoria pearsoniana","152.618,-26.712",2000,-26.712,152.618,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.62,-26.686",2005,-26.686,152.62,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.638,-26.651",2005,-26.651,152.638,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.675,-26.572",1999,-26.572,152.675,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.691,-28.305",2000,-28.305,152.691,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.71,-27.144",2000,-27.144,152.71,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","152.848,-26.561",2005,-26.561,152.848,"Pelodryadidae","Litoria",13,5,1414,75
"Litoria pearsoniana","152.856,-26.565",2000,-26.565,152.856,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","153.113,-28.193",1999,-28.193,153.113,"Pelodryadidae","Litoria",1,0,1414,75
"Litoria pearsoniana","153.134,-28.137",2004,-28.137,153.134,"Pelodryadidae","Litoria",18,9,1414,75
"Litoria pearsoniana","153.134,-28.137",2005,-28.137,153.134,"Pelodryadidae","Litoria",15,6,1414,75
"Litoria pearsoniana","153.14,-28.217",2004,-28.217,153.14,"Pelodryadidae","Litoria",18,9,1414,75
"Litoria pearsoniana","153.14,-28.217",2005,-28.217,153.14,"Pelodryadidae","Litoria",15,6,1414,75
"Litoria pearsoniana","153.148,-28.237",2004,-28.237,153.148,"Pelodryadidae","Litoria",18,9,1414,75
"Litoria pearsoniana","153.148,-28.237",2005,-28.237,153.148,"Pelodryadidae","Litoria",15,6,1414,75
"Litoria pearsoniana","153.152,-28.241",2004,-28.241,153.152,"Pelodryadidae","Litoria",18,9,1414,75
"Litoria pearsoniana","153.152,-28.241",2005,-28.241,153.152,"Pelodryadidae","Litoria",15,6,1414,75
