"species","med.temp","min.temp","max.temp","n.cell"
"Adelotus brevis",18.1164042107145,11.4480248644836,22.2721554462175,1249
"Anstisia alba",16.2965857857152,16.1793474254752,16.4899353228117,5
"Cophixalus ornatus",20.8984228005087,19.1881954795436,24.8455330698114,56
"Crinia georgiana",16.01996778187,14.2393610818045,18.461349802806,336
"Crinia glauerti",16.1900747664889,14.8705346387132,18.583529708977,384
"Crinia insignifera",17.934806579934,16.0336958160974,18.461349802806,138
"Crinia pseudinsignifera",16.2847947393145,14.4611992513327,20.0689193610858,254
"Crinia signifera",14.212664410584,4.43564384144948,21.6256895137012,10635
"Cyclorana alboguttata",21.285769010845,16.822888438863,27.3320259868651,755
"Heleioporus eyrei",16.5795453078765,14.8705346387132,19.9997019086565,312
"Limnodynastes peronii",16.3169481091033,6.36275339485111,25.2790742314848,5247
"Limnodynastes tasmaniensis",15.5930789072711,5.90587892388939,25.4511793896668,9077
"Litoria adelaidensis",16.2903502041236,14.580910352836,20.1096284479127,472
"Litoria aurea",16.8657476095329,9.83995723724365,19.8813402563109,387
"Litoria caerulea",19.9470335164464,9.53843444451354,28.7123037352598,4884
"Litoria chloris",17.5259078893446,12.3974726325587,23.0416084375597,567
"Litoria dayi",22.01735496521,19.1638559900728,25.4427338793762,101
"Litoria eucnemis",25.8736662326899,23.3017841711976,27.1415449730436,20
"Litoria ewingii",13.6950410971964,5.42993944928162,18.7113512942665,3652
"Litoria fallax",18.2194378501491,10.4162774982309,25.4427338793762,3719
"Litoria gracilenta",19.9397000907955,14.6621563631789,25.8053341772323,1410
"Litoria inermis",25.4228693883222,16.657088322747,28.7905424878113,1366
"Litoria latopalmata",18.5325324625001,11.1723157911372,27.251178339908,3466
"Litoria lesueuri",13.4137273444269,6.14465045570431,17.6607021245741,952
"Litoria moorei",17.0427302919832,14.580910352836,20.8780269479393,394
"Litoria nannotis",21.5855781798972,19.2570727929137,24.7804378566885,78
"Litoria nasuta",23.2339051755747,12.2660341262817,29.134683537304,2153
"Litoria pearsoniana",17.3738143175168,12.6977290318425,20.0937555069314,189
"Litoria peronii",16.4317079235737,8.81564955603807,23.2891164794004,6470
"Litoria raniformis",14.2397961437254,7.24988574909985,17.5851012208408,1684
"Litoria rheocola",22.5606615883963,19.1638559900728,25.5114842608459,123
"Litoria rothii",26.582661478143,17.9210893444549,29.134683537304,1585
"Litoria rubella",21.0539600400996,13.2006374014948,29.134683537304,4273
"Litoria serrata",21.3654291755275,18.7431832220321,25.3898374371063,170
"Litoria verreauxii",14.0375174185387,4.43564384144948,20.3477897644043,2545
"Litoria wilcoxii",18.4522345621783,11.5298054630595,23.9773126329694,998
"Mixophyes fasciolatus",18.0839562523634,11.5772912878739,22.4306230903568,1131
"Mixophyes fleayi",17.0141574780744,14.8724946617184,19.37763268607,38
"Mixophyes iteratus",17.7584838365254,13.2425680877571,20.3777238085754,210
"Pseudophryne corroboree",7.45497936592963,5.12739952524802,10.1272434435393,13
"Pseudophryne pengilleyi",10.5820323506692,8.1934180295557,12.2449450385302,22
"Taudactylus eungellensis",20.5634303702448,18.5934982299805,21.2928504657028,5
