eventID,length,lengthUnits,weight,weightUnits,fixative,institutionCode,institutionID,collectionCode,traditionalKnowledgeNotice,individualCount,preparationType,preservative,relaxant,typeStatus,nomenclaturalCode,associatedMedia,associatedReferences,references,license,informationWithheld,dynamicProperties,datasetName,sampleEnteredBy,catalogNumber,boldBIN,fieldNumber,genbankSpecimenVoucher,modifiedBy,modifiedReason,occurrenceRemarks,otherCatalogNumbers,materialSampleID,occurrenceID,organismID,organismQuantity,organismQuantityType,individualID,subProject,subSubProject,boldProcessID,voucherURI,voucherCatalogNumber,associatedTaxa,establishmentMeans,organismRemarks,identificationRemarks,class,colloquialName,nameOfIndividual,dayIdentified,basisOfRecord,family,genus,identifiedBy,identificationVerificationStatus,infraClass,infraOrder,kingdom,lifeStage,verbatimLifeStage,taxonRank,monthIdentified,morphospeciesDescription,morphospeciesMatch,order,phylum,previousIdentifications,scientificName,sex,specificEpithet,subClass,subFamily,subGenus,subOrder,subPhylum,infraspecificEpithet,subTribe,superClass,superFamily,superOrder,taxonRemarks,tribe,wormsID,yearIdentified,sampleMaterialProcessing,sampleSizeFractionation,sampleSize,sampleSizeUnits,sampleName,sampleCollectionDevice,bcid,expeditionCode,projectId,
0097f03a77c3a8674a0e13289607a756,,,,,,,,,,41,,,,,,,"Grogan et al. 2016 | Grogan LF, Phillott AD, Scheele BC, Berger L, Cashins SD, Bell SC, Puschendorf R, Skerratt LF (2016) Endemicity of chytridiomycosis features pathogen overdispersion. Journal of Animal Ecology 85: 806_816. doi: 10.1111/1365-2656.12500",,,,,,,,,,,,,,,26757,,,,,,,,,,,,Native,,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,rheocola,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsP226757,release2,300,
00a9983edcbda0616a3996614f2622aa,,,,,,,,,,29,,,,,,,"Puschendorf et al. 2011 | Puschendorf R, Hoskin CJ, Cashins SD, McDonald K, Skerratt LF, Vanderwal J, Alford RA. (2011) Environmental refuge from disease-driven amphibian extinction. Conservation Biology 25: 956_964. doi: 10.1111/j.1523-1739.2011.01728.x",,,,,,,,,,,,,,,38319,,,,,,,,,,,,Native,,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,lorica,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsP238319,release2,300,
00a9983edcbda0616a3996614f2622aa,,,,,,,,,,40,,,,,,,"Puschendorf et al. 2011 | Puschendorf R, Hoskin CJ, Cashins SD, McDonald K, Skerratt LF, Vanderwal J, Alford RA. (2011) Environmental refuge from disease-driven amphibian extinction. Conservation Biology 25: 956_964. doi: 10.1111/j.1523-1739.2011.01728.x",,,,,,,,,,,,,,,38322,,,,,,,,,,,,Native,,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,nannotis,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsP238322,release2,300,
0101db34dfe65e66ea15662fa713f009,,,,,,,,,,,,,,,,,"Murray et al. 2010 | Murray K, Retallick R, McDonald KR, Mendez D, Aplin K, Kirkpatrick P, Berger L, Hunter D, Hines HB, Campbell R, Pauza M, Driessen M, Speare R, Richards SJ, Mahony M, Freeman A, Phillott AD, Hero J-M, Kriger K, Driscoll D, Felton A, Puschendorf R, Skerratt LF (2010) The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956_2007. Ecology 91(5): 1557. Ecological Archives E091_108. http://esapubs.org/archive/ecol/E091/108/",,,,,,,,,,,,," | RichardRetallick, R  Retallick, R. Retallick (Wet Tropics), DbID 2216",,7030,,,,,,,,,,,,Native,Wild,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,rheocola,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC27030,release1,300,
0114e92874f9c475c77bc98f7fdaf959,,,,,,,,,,20,,,,,,,"Brannelly et al. 2018 Anim Cons | Brannelly LA, Webb RJ, Hunter DA, Clemann N, Howard K, Skerratt LF, Berger L, Scheele BC (2018 Anim Cons) Non-declining amphibians can be important reservoir hosts for amphibian chytrid fungus. Animal Conservation 21: 91_101. doi: 10.1111/acv.12380",,,,,,,,,,,,,,,31929,,,,,,,,,,,,Native,,,,,,,Event,,Crinia,,,,,,Unknown,,,,,,,,,,,signifera,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsP231929,release2,300,
012a84ebe04b113f041963c72c1f7bb6,,,,,,,,,,,,,,,,,"Kriger and Hero 2008also Murray et al. 2010 | Kriger KM, Hero J-M (2008) Altitudinal distribution of chytrid (Batrachochytrium dendrobatidis) infection in subtropical Australian frogs. Austral Ecology 33: 1022_1032. doi: 10.1111/j.1442-9993.2008.01872.x | Murray K, Retallick R, McDonald KR, Mendez D, Aplin K, Kirkpatrick P, Berger L, Hunter D, Hines HB, Campbell R, Pauza M, Driessen M, Speare R, Richards SJ, Mahony M, Freeman A, Phillott AD, Hero J-M, Kriger K, Driscoll D, Felton A, Puschendorf R, Skerratt LF (2010) The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956_2007. Ecology 91(5): 1557. Ecological Archives E091_108. http://esapubs.org/archive/ecol/E091/108/",,,,,,,,,,,,," | KrisMurray, K. Kriger, K. Murray, DbID 4541",,6411,,,,,,,,,,,,Native,Wild,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,chloris,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC26411,release1,300,
012a84ebe04b113f041963c72c1f7bb6,,,,,,,,,,,,,,,,,"Kriger and Hero 2008also Murray et al. 2010 | Kriger KM, Hero J-M (2008) Altitudinal distribution of chytrid (Batrachochytrium dendrobatidis) infection in subtropical Australian frogs. Austral Ecology 33: 1022_1032. doi: 10.1111/j.1442-9993.2008.01872.x | Murray K, Retallick R, McDonald KR, Mendez D, Aplin K, Kirkpatrick P, Berger L, Hunter D, Hines HB, Campbell R, Pauza M, Driessen M, Speare R, Richards SJ, Mahony M, Freeman A, Phillott AD, Hero J-M, Kriger K, Driscoll D, Felton A, Puschendorf R, Skerratt LF (2010) The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956_2007. Ecology 91(5): 1557. Ecological Archives E091_108. http://esapubs.org/archive/ecol/E091/108/",,,,,,,,,,,,," | KrisMurray, K. Kriger, K. Murray, DbID 4561",,6412,,,,,,,,,,,,Native,Wild,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,pearsoniana,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC26412,release1,300,
014a6e783f05fe2c2111067cb2b390a2,,,,,,,,,,11,,,,,,,"Symonds et al. 2007 | Symonds EP, Hines HB, Bird PS, Morton JM, Mills PC (2007) Surveillance for Batrachochytrium dendrobatidis using Mixophyes (Anura: Myobatrachidae) larvae. Journal of Wildlife Diseases 43: 48_60.",,,,,,,,,,,,, | Reference has info on species that have declined or disappeared in district,,2285,,,,,,,,,,,,Native,Wild,,,,,,Event,,Mixophyes,,,,,,,,,,,,,,,,,fleayi,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC22285,release1,300,
014cc0313cc48d15b2436879d5d2bdff,,,,,,,,,,,,,,,,,"Murray et al. 2010 | Murray K, Retallick R, McDonald KR, Mendez D, Aplin K, Kirkpatrick P, Berger L, Hunter D, Hines HB, Campbell R, Pauza M, Driessen M, Speare R, Richards SJ, Mahony M, Freeman A, Phillott AD, Hero J-M, Kriger K, Driscoll D, Felton A, Puschendorf R, Skerratt LF (2010) The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956_2007. Ecology 91(5): 1557. Ecological Archives E091_108. http://esapubs.org/archive/ecol/E091/108/",,,,,,,,,,,,," | KrisMurray, K. Aplin, K. Murray (K. Aplin sorted database), DbID 7699",,6328,,,,,,,,,,,,Native,Wild,,,,,,Event,,Litoria,,,,,,,,,,,,,,,,,moorei,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC26328,release1,300,
014cc0313cc48d15b2436879d5d2bdff,,,,,,,,,,,,,,,,,"Murray et al. 2010 | Murray K, Retallick R, McDonald KR, Mendez D, Aplin K, Kirkpatrick P, Berger L, Hunter D, Hines HB, Campbell R, Pauza M, Driessen M, Speare R, Richards SJ, Mahony M, Freeman A, Phillott AD, Hero J-M, Kriger K, Driscoll D, Felton A, Puschendorf R, Skerratt LF (2010) The distribution and host range of the pandemic disease chytridiomycosis in Australia, spanning surveys from 1956_2007. Ecology 91(5): 1557. Ecological Archives E091_108. http://esapubs.org/archive/ecol/E091/108/",,,,,,,,,,,,," | KrisMurray, K. Aplin, K. Murray (K. Aplin sorted database), DbID 8457",,6324,,,,,,,,,,,,Native,Wild,,,,,,Event,,Crinia,,,,,,,,,,,,,,,,,insignifera,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC26324,release1,300,
